playerId,displayName,id,name
837594,Jeremy McNichols,13143,"McNichols, Jeremy"
1130881,DeMichael Harris,15149,"Harris, De'Michael"
728021,Geoff Swaim,12378,"Swaim, Geoff"
359,49ers,530,"49ers, San Francisco"
326,Bears,521,"Bears, Chicago"
327,Bengals,506,"Bengals, Cincinnati"
324,Bills,501,"Bills, Buffalo"
332,Broncos,511,"Broncos, Denver"
329,Browns,507,"Browns, Cleveland"
362,Buccaneers,525,"Buccaneers, Tampa Bay"
355,Cardinals,519,"Cardinals, Arizona"
357,Chargers,514,"Chargers, Los Angeles"
339,Chiefs,512,"Chiefs, Kansas City"
338,Colts,502,"Colts, Indianapolis"
331,Cowboys,516,"Cowboys, Dallas"
345,Dolphins,503,"Dolphins, Miami"
354,Eagles,518,"Eagles, Philadelphia"
363,WAS Football Team,520,"FootballTeam, Washington"
323,Falcons,526,"Falcons, Atlanta"
351,Giants,517,"Giants, New York"
365,Jaguars,509,"Jaguars, Jacksonville"
352,Jets,505,"Jets, New York"
334,Lions,522,"Lions, Detroit"
335,Packers,523,"Packers, Green Bay"
364,Panthers,527,"Panthers, Carolina"
348,Patriots,504,"Patriots, New England"
341,Raiders,513,"Raiders, Las Vegas"
343,Rams,528,"Rams, Los Angeles"
366,Ravens,531,"Ravens, Baltimore"
350,Saints,529,"Saints, New Orleans"
361,Seahawks,515,"Seahawks, Seattle"
356,Steelers,510,"Steelers, Pittsburgh"
325,Texans,532,"Texans, Houston"
336,Titans,508,"Titans, Tennessee"
347,Vikings,524,"Vikings, Minnesota"
