mfl_id,mfl_name,first_last,standard_name,pos,team,draft_year,college,stats_id,sportsdata_id,espn_id,cbs_id,nfl_id
14108,"Dortch, Greg",Greg Dortch,greg dortch,WR,ATL,2019,Wake Forest,32523,4484c7d1-025a-4f26-8e9b-48503afb0c68,,2223207,
14109,"McLaurin, Terry",Terry McLaurin,terry mclaurin,WR,WAS,2019,Ohio State,31908,7e8c4641-2beb-4213-ba22-69fe0307005f,,2139279,
14110,"Sills, David",David Sills,david sills,WR,NYG,2019,West Virginia,32418,97f6c20c-1110-4551-82c1-41d3247397a2,,2179491,
14111,"Lodge, DaMarkus",DaMarkus Lodge,damarkus lodge,WR,FA,2019,Mississippi,32483,aa916eb5-53cf-4895-b979-540f433be2e1,,2186347,
14112,"Campbell, Parris",Parris Campbell,parris campbell,WR,IND,2019,Ohio State,31891,db0c3b1c-8d18-435a-864a-cdd696f963b6,,2139271,
14113,"Hardman, Mecole",Mecole Hardman,mecole hardman,WR,KC,2019,Georgia,31888,fe6dc768-d576-476c-b150-53b85af2a1d1,,2248618,
14114,"Harmon, Kelvin",Kelvin Harmon,kelvin harmon,WR,WAS,2019,North Carolina State,32038,d3cc6f89-56d8-45e9-87f0-3a1a56f97bc6,,2246942,
14115,"Hall, Emanuel",Emanuel Hall,emanuel hall,WR,WAS,2019,Missouri,32253,d6f5ecdf-be55-430e-9370-0ea608395dad,,2185471,
14116,"Hurd, Jalen",Jalen Hurd,jalen hurd,WR,SF,2019,Baylor,31899,917d4304-d039-42a9-9c43-84e3786f105c,,2131633,
14117,"Johnson, Tyron",Tyron Johnson,tyron johnson,WR,LAC,2019,Oklahoma State,32511,064c4eda-1b10-40ac-a9d2-66caf76a213a,,2180626,
14118,"Humphrey, Lil'Jordan",Lil'Jordan Humphrey,liljordan humphrey,WR,NO,2019,Texas,32494,b7f930af-ddd2-4a48-9617-96bda81b0334,,2246852,
14119,"Johnson, Anthony",Anthony Johnson,anthony johnson,WR,PIT,2019,Buffalo,32482,e0dc9dce-fe33-4092-b6bd-6af3cbcb762e,,2258536,
14120,"Jennings, Gary",Gary Jennings,gary jennings,WR,IND,2019,West Virginia,31952,49f9f357-e90a-45b7-9f55-fe451125149f,,2179483,
14121,"Isabella, Andy",Andy Isabella,andy isabella,WR,ARI,2019,Massachusetts,31894,04f9a4be-b236-4eed-9bc4-794f615ccd13,,2182851,
14122,"Slayton, Darius",Darius Slayton,darius slayton,WR,NYG,2019,Auburn,32003,82ed30a5-54a8-4ed0-b040-99c3a78fb055,,2183982,
14123,"Renfrow, Hunter",Hunter Renfrow,hunter renfrow,WR,LVR,2019,Clemson,31981,34c523c7-bc58-49f0-a9cc-f9edd91fe00f,,2144726,
14124,"Johnson, KeeSean",KeeSean Johnson,keesean johnson,WR,ARI,2019,Fresno State,32006,7e8f4076-25e1-41e5-8e71-f70397a3729d,,2142105,
14125,"Boykin, Miles",Miles Boykin,miles boykin,WR,BAL,2019,Notre Dame,31925,d1ed6f8c-1611-4695-8b48-5adce0de50dd,,2186656,
14126,"Williams, Preston",Preston Williams,preston williams,WR,MIA,2019,Colorado State,32447,497758de-5f0b-481f-8c68-7aa5e21df322,,3117057,
14127,"Meyers, Jakobi",Jakobi Meyers,jakobi meyers,WR,NE,2019,North Carolina State,32231,73e194d1-a4b7-4de4-b1c2-3c24ef502918,,2183835,
14129,"Mitchell, Dillon",Dillon Mitchell,dillon mitchell,WR,FA,2019,Oregon,32071,ab04bbda-ee5d-45f8-851a-6fe36ad0c21a,,2221967,
14130,"Wesley, Antoine",Antoine Wesley,antoine wesley,WR,BAL,2019,Texas Tech,32317,8e43eb21-92e4-4720-8766-c9204259c063,,2252278,
14131,"Morgan, Stanley",Stanley Morgan,stanley morgan,WR,CIN,2019,Nebraska,32469,8f32cbe6-9c50-4bf7-9e68-057d718fb490,,2179632,
14132,"Custis, Jamal",Jamal Custis,jamal custis,WR,FA,2019,Syracuse,32355,8535bd19-f47b-4dad-a041-8daec77ab9ad,,2139136,
14134,"Dixon, Johnnie",Johnnie Dixon,johnnie dixon,WR,FA,2019,Ohio State,32504,4a8fee2c-2870-42fa-8d71-429d36e057d2,,2131248,
14136,"Samuel, Deebo",Deebo Samuel,deebo samuel,WR,SF,2019,South Carolina,31868,628a6a0a-4fde-4024-8d7c-28674953d5af,,2139735,
14137,"Fant, Noah",Noah Fant,noah fant,TE,DEN,2019,Iowa,31852,cdc98acc-9eb6-4b44-81bb-61d7b8a3b55f,,2251095,
14138,"Hockenson, T.J.",T.J. Hockenson,tj hockenson,TE,DET,2019,Iowa,31840,bd1120b6-38b3-4225-a4b0-20660a149d0d,,2251097,
14139,"Mack, Alize",Alize Mack,alize mack,TE,FA,2019,Notre Dame,32063,dbda3235-5f3a-4c16-81da-48c093ad6c85,,2186666,
14140,"Sternberger, Jace",Jace Sternberger,jace sternberger,TE,GB,2019,Texas A&M,31907,f808794b-3135-4f75-b46a-ba90bf6b8502,,2179567,
14141,"Smith Jr., Irv",Irv Smith Jr.,irv smith,TE,MIN,2019,Alabama,31882,ed0e6a30-83d5-4f4b-bf49-f7ff80e21304,,2257888,
14142,"Smith, Kaden",Kaden Smith,kaden smith,TE,NYG,2019,Stanford,32008,7bb7f5e7-f00e-47d8-954d-90bf5baf4292,,2251343,
14143,"Knox, Dawson",Dawson Knox,dawson knox,TE,BUF,2019,Mississippi,31928,5fb525c5-4e70-4ede-8c49-94ad0cf66b7d,,2186345,
14144,"Nauta, Isaac",Isaac Nauta,isaac nauta,TE,GB,2019,Georgia,32056,e0755328-7fe1-4df7-9dfb-93e9cf9ef5be,,2240213,
14145,"Wilson, Caleb",Caleb Wilson,caleb wilson,TE,PHI,2019,UCLA,32086,a195e517-f732-4e55-a84c-2ce132a73c65,,2251371,
14146,"Sample, Drew",Drew Sample,drew sample,TE,CIN,2019,Washington,31884,15a4f552-ecaf-45bd-9006-aa5dda93bee6,,2139646,
14191,"Barnes, Alex",Alex Barnes,alex barnes,RB,FA,2019,Kansas State,32419,,,2179575,
14192,"Williams, James",James Williams,james williams,RB,FA,2019,Washington State,32368,495651ef-1a14-42be-9f6a-40385a428dd8,,2180416,
14194,"Wade, Christian",Christian Wade,christian wade,RB,BUF,2019,,31822,a511be63-5fc1-4e67-b798-fc801e3c166d,,3114045,
14195,"Warring, Kahale",Kahale Warring,kahale warring,TE,HOU,2019,San Diego State,31918,a96e777e-120a-4843-8bfb-59069bd1bd52,,2190068,
14208,"Johnson, Diontae",Diontae Johnson,diontae johnson,WR,PIT,2019,Toledo,31898,244c00c7-fe9a-4f4f-adff-1d5b9c8877e7,,2194164,
14209,"Oliver, Josh",Josh Oliver,josh oliver,TE,JAC,2019,San Jose State,31901,dc83f7af-7b30-4c4a-9c93-f67bd8db954b,,2184618,
14223,"Mattison, Alexander",Alexander Mattison,alexander mattison,RB,MIN,2019,Boise State,31934,ae4faec0-509d-4080-b5cb-d1a44d062858,,2257933,
